7400 words judged, heard by OdyAsh/faster-whisper-base-ar-quran

Share of each group the rule says was NOT said. For the first two lower is
better, they are words that were right; for the slips higher is better.
The second line is how many words are in each group: the two slip columns
rest on few enough words that one word moves them several points.

          rule    cut                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
         worst       0.001                  2.5%                 14.6%                 16.2%                 21.7%                  2.9%
         worst       0.005                  3.8%                 23.3%                 21.6%                 31.4%                  5.6%
         worst        0.01                  4.3%                 28.2%                 24.3%                 37.7%                  6.9%
         worst        0.02                  4.8%                 32.6%                 29.7%                 43.5%                  8.4%
         worst        0.05                  5.5%                 37.4%                 29.7%                 54.1%                  9.9%
         worst         0.1                  6.1%                 41.6%                 29.7%                 58.9%                 11.8%
         worst         0.3                  7.2%                 48.9%                 29.7%                 68.6%                 14.1%
         worst         0.5                  7.8%                 52.2%                 32.4%                 74.9%                 15.3%
         worst         0.7                  8.2%                 54.0%                 32.4%                 77.8%                 16.0%
         worst         0.9                  9.0%                 55.7%                 32.4%                 80.7%                 17.4%
 worst-but-one       0.001                  0.4%                  1.3%                  0.0%                  2.4%                  0.2%
 worst-but-one       0.005                  0.6%                  2.9%                  0.0%                  4.3%                  0.5%
 worst-but-one        0.01                  0.7%                  4.5%                  0.0%                  8.2%                  0.9%
 worst-but-one        0.02                  0.7%                  5.8%                  5.4%                 10.6%                  1.0%
 worst-but-one        0.05                  1.1%                  8.1%                  8.1%                 17.4%                  1.6%
 worst-but-one         0.1                  1.4%                 11.3%                  8.1%                 21.3%                  2.1%
 worst-but-one         0.3                  1.9%                 16.5%                 10.8%                 31.4%                  3.2%
 worst-but-one         0.5                  2.3%                 20.5%                 10.8%                 39.1%                  4.2%
 worst-but-one         0.7                  2.7%                 24.5%                 10.8%                 44.0%                  5.2%
 worst-but-one         0.9                  3.9%                 30.1%                 10.8%                 60.9%                  7.1%
          mean       0.001                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean       0.005                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean        0.01                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean        0.02                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean        0.05                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean         0.1                  0.0%                  0.0%                  0.0%                  0.0%                  0.0%
          mean         0.3                  0.1%                  0.1%                  0.0%                  0.0%                  0.2%
          mean         0.5                  0.5%                  1.8%                  0.0%                  2.4%                  0.9%
          mean         0.7                  1.6%                 14.5%                  0.0%                 16.9%                  4.0%
          mean         0.9                  7.3%                 50.8%                 29.7%                 72.9%                 15.1%


RED as the app shows it, worst-but-one. Words checked by sound: 77.1%

         level  flag-below                 right  marked for tajweed o  letter or word slips           vowel slips              unmarked
      beginner         0.3                  0.6%                  2.1%                  5.4%                 17.9%                  0.6%
      standard         0.7                  1.1%                  3.7%                  5.4%                 26.1%                  1.5%
      advanced         0.9                  1.9%                  5.9%                  8.1%                 39.6%                  2.4%
